-1 fittitwvjtejwutftcwxwnwvrnbmaaasswpqbjaaoangnjumkihwwtvtcvxxrgpsmruqbpqaooihraacjpnlrognckongrwuipqtkepklcixsstrorhhlnpskokuuuacffilmqnahkgorqaqrprrropwkgepuvwehbafcslbjaaaakuxowopwmcqiknmilrwmnntdcig 
-1 sunsgpgaqdersppcgpgbsptnpcpocvjlbbftesfummnbjfkiliopkbmbsdefmgcphrrpfdmcbqikrmbsibsbiccdrureooccknsncjfrhpdlendojdpcatjumkfjlqapjdcclbshkbtjrnsieohinoqfbftuondbhrrpqiruoqmdeegfugtnadrjlogcdvibdsslooef 
1 apvebaackmaapgeccaaabaahhaadaaecmkksggjfokipalrwttdegafdnbnalcjfifvuwdgfcnkpgfxuhngfkcewvxndwqudlnieelfnfaegkdabgnaplkaabaoafaqgacoblfmaanbaqbfaaqcateaogocaapcbcsaastdbckuraasvatnaaapaibhpkbceaaunuaha 
-1 ppukguqrjbfaafpirrtooaamppuuwjsjaaacamruvjxjlaadnjmjmtupjaaakhuswkkfaalrckrjjugmbdakbtfvlslaadkphnfntclnlbabilmorerkaaaktgijhqlmhhnchqslglhlcalkciojpntmfhskuvjjvjqjqlhuismvtqqrnhvuirfgishjvrmmgabaccns 
-1 euqoipsfstngujprwxviaacahhadwwxhswumetdjmwepuwcsqgrpuaruasruaestavttlpcsksmaaaaafamjcckuauotkwtxnaktjosvasxqbwuhdmdnwkpgovkvonmrrwpmttogjliaedacceshutlsxijtumdektustsvhxwxxxgvpvilwqpaovvjpfvwmtrnuqxlq 
-1 iaqfmcdldiiulmrtghdnbsglrfgktkagimebcaceabaccjdhcabjllijdcmfgakbcdffclkanadeckccgpmcpkiekhnmjffmresfbapbjbofabcfoifaoebdcgfnhjgbecdcdgaedaqcgajoacgfbifktjsekhedkffgaaloikbdrabbaicdadhggbaagbhdjminjkdk 
-1 piqijfkjjevmilshhsnrlnniugjkkhqcfcjhunoollggljhegjwihhwghfikdgcfhkiiijtnkkoxdmbfmcdkidmkhlcjmehvmdigdkeigpledbhvigeiifdtgihorcrdjtihmaicehpjiilijikfjjndckclkietlpivmhwlvkihntmbkdllmlqtihillgqllhkregkw 
1 iorbaaaitwnnvnruvvqprrbbswwvuwpdaeopwusuorjaacfcdpaufdcdvikafaamqtakbeejaujgtosvacdnsilqrtrvwxwulvvwtrsqtuttwtqrvvvweadsisuaellwxvxnchrstruswqxtttaafnfalcaabanaaecsttgjbaacdenqmauwwvwrqdhnvqdowdulefnl 
1 rjrpigagaeestbfxiosmbfaghjcerncqsjqofghdcdadjsrttxuqwvrfeaedcagoocpsirnkhaddaehrmukwrlmqopadhfbsnmpcqqpqgoomacnkclroarrpbfqnmacaeannmaaabarsnaaaaccaupodwuhusheaifddgqmeoskookiaeebghqatvjuregadcedjlkcp 
-1 mwhfpjffepmkbingomlholochmlknsaelfjknujvtrkntjdjkvfjjlvqnuivkoovtlguhinnwmespvsqlvuolujdfilmkffrcdqqjktjfbnjpsvmgulvrprflmknjbdtjvnphvedqeujkhogsrfnpwfdkhgsdgbmesgdkonrnlpijfkpgbmmnssvktnvsckvhbeglrcb 
-1 fciquwpxtwxxmaacaaaaanafsbrjfgaceabifaqosokspiaaaaascfobbsafackicaaimfqsspdqtscgefkdiceaitbhuqllvgkthqcbbadgaubababfljabaacdfgkjhhltdcipedtjwsgenjidtaaabamantaddilihjdiktdsulmuiteulhbdgabaafdccanmdaad 
-1 uvunwitpukqtqaaabbbqshtoiaajkkkaoswskgxlqtuvuvvvdbdbxrvkvuiksslttvwqsqabfhhadkodtvswxoufcttqvtvuhcaghiejnwmvwlaaampecasslnqroxrjsntkwvauuwgktvvurfjfdpaixussmvvkfxaaeajaafdprhsmprwqwvtqnsdbccdbabbbabbb 
-1 gohcpllnrabbchldboqsgnoabbeficdoopdidkabbirlofcalhopuqoqtwsteclumsponosqvrjhdgrqstnmxnmrokchgibacabkjqdaeojfbahaabphggahaldtnaaaekdbcncnfbhabgcaccrgcikoaaauhaaperjmfafaaqpjtfpbethklbbcakqaajdntruehbda 
1 gglnqooqaiegpdofgihdcdjprchhhhgfgncfhhnbheeochgjicdqkisdqnfenetjhnjiepcsfmgpcdfqdjlecfurhqjcmprenpbkocogbnpreqpjcesrmhedjrmkcccfeqmnonjldhicmfdhdeadqqgdgdmmccifhpenjnfijesockfjkeqhhrfnkernfflegombgiem 
1 jaahbaeaawgaahuaauaawtvaaatbjahhdjahqfmgeoxwwuaatiadsfachiaadevvopojetqaaanbaandaaqsamgxwkunhkvqvqjoxwjawqnuhufixttnxwxelxmowruoattvulaxdnnxwouwdjuxviwxvlrwurrxqnhuxusgstsgquwstxupmgsqouslrttwnpmsvqtu 
1 unoooquvtwusfwfamhmkemtwuuxwuvucltinpmkpuxxfvsplobgnmolsruuwjvorniosppubqpmkmoucktrpqdmoqnmmqhstvoasupkhrriupirouwfkdiwnorntuuwwwijvsftoreriptehaooppkiemedfknumekmignnkniqfjjnjojmoimkmihdijknkjeplkknm 
-1 nbjkfcjknbligfitmddpfcdoogddbgqjnfqpdccihlbdsqijpncfqtedgbrkdhplfdkrdnhmeehpdmjilgldntjhgqdckenighejckktdklkpdemdgnhfirihjplcdgkjdkcficfknrhdjdhlgqdgknukghdjonigfijkliredfgikkenkjgffgehkmsdhoroqkgeciq 
-1 roknvqrisuxdrwfjvglujvreqitssvpvwkkomnvrohscmnrhwmveorsrpuowxgorvwuxuqrxvowxphpjetlgpsjuqsgxhrcbqhwtompturdjcmlowtpnpwuhuisgpfhadehhqpmfeactkcirbacbdahnnvsgbfbqrghhadehglpveeaclegrbacbcahnnvsfbqwvmklr 
-1 aecevkajeadowqxrxmejttufntrlpaghtmaafbbjpkqwmxinnssrgjlrhqarignabithbrxowwlilftibaqkijaaaaaanhalbarackbadesatkvnnrlnlnbcsujhavlqvjmndikfcqtsjmwviueaqdaavtqngountaatvcjrgvnaputnsaarebauunujpvtanoselvhm 
-1 dtphxhemsilhvjhowpmuqucgffmctiisdnfmaaheqvwuhaamoorrnebbislntdkipchwhbvuwrvwfkpnjoomfshmbuipiaaiaauvqvwwxjbwqhswwugavpuvtvecwrkvwvueaskukobpvolvnvjsqkourvdutugwntfgdprqrrmnrtleqaffecmptreiieqljdibdegg 
-1 sgocnitlpuuxvsufieecgklfoqpkbdhbcacqmegefgheedjecdkfcfapjbacefdabltusovqusvsvusqqwuuuuvorhprulwwvqswvtcprvrssoqttplenuuuuwwswwvvuvwwwswwuquwwwpwsonbamvukorlknpskmjrmoljmiaaamdjllbbcbopaagdehaallliaanc 
-1 txtuvxwrqsvxxxvsououwqusqtjvkxsnukwgmhrtvsrlouncsgklgtoaaanaaakukhlurtpewxmmguujmjpjskqhsstamtqtswwvwvipwknuwstqjhjueftpsruvmwvsuswumuxwxjqjkvpwmketkhmbhwtuoqmpuuwwufwxaaavhuqwttvqvvtwsuvxwwwopmjofihv 
-1 gggkivtfrjcjtfmoamelpltjbmepplungcqqlmjdniaaiodaklptjtchfgttrjsmqnpgqgdnvhjcgjllbncjhvrfbeqiqdeggjadnrgagtvsolbpbcnjtnllgnwsheokqsjtdelpiorcoimqohfikhnnklroeicfqtghelunrucicllscjfnmlrsfegecbbgnhpvqknb 
-1 gwijqumqeefdwtjqwuuiqkdsnbprwqrrvsluwvqsvutwstmotarcfewssmgmbodnluuujtsequutuitwotwxvowtvsairpheskppjlusjiulisenrfggihgtvemadkrmhqlvbsrpirjhjttmtktjeiwkgtfrjfexvjilriuuhfnqfhwunjvkkiloefimevqjprfmplrx 
-1 bojfaaaabeobhlmaicjeheksafgadcqkpapfjhokjmcktsstslpvvtpjafljnikdhianpmgsfmaacaachmgbpcfhhiheeqcfldmcgaaaaakdrswsjsdcodjkadkvtwmkqedecgvkfjajlltasftjmdmalfucaojagrvlgcalkfrltpgaqiwsunpponqckgkaaokbhaaa 
